date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:22:38	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Apr%202024%2023:22:39%20GMT	https://robopragmav3.com/robots.txt		(from )
06:22:38	91062/91062	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2007:25:30%20GMT	https://robopragmav3.com/	D:/roboinject/robopragmav3.com/index.html	(from )
06:22:39	223951/223951	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2006%20Apr%202024%2023:22:39%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/roboinject/connect.facebook.net/en_US/fbevents.js	(from https://robopragmav3.com/)
06:22:39	284582/284582	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Feb%202024%2010:39:56%20GMT	https://robopragmav3.com/cdn.ampproject.org/v0.js	D:/roboinject/robopragmav3.com/cdn.ampproject.org/v0.js	(from https://robopragmav3.com/)
06:22:40	421033/421033	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Jan%202024%2018:27:54%20GMT	https://robopragmav3.com/i.ibb.co/T478tJw/Robo.png	D:/roboinject/robopragmav3.com/i.ibb.co/T478tJw/Robo.png	(from https://robopragmav3.com/)
06:22:40	284582/284582	---M--	200	added ('OK')	text/javascript	etag:%22ec6d22c4cf8283c7%22	https://cdn.ampproject.org/v0.js	D:/roboinject/cdn.ampproject.org/v0.js	(from https://robopragmav3.com/)
06:22:40	38731/38731	---M--	200	added ('OK')	text/javascript	etag:%2271835cc2611ceb27%22	https://cdn.ampproject.org/v0/amp-carousel-0.1.js	D:/roboinject/cdn.ampproject.org/v0/amp-carousel-0.1.js	(from https://robopragmav3.com/)
06:22:41	9317/9317	---M--	200	added ('OK')	text/javascript	etag:%2283ad5728be235b53%22	https://cdn.ampproject.org/v0/amp-install-serviceworker-0.1.js	D:/roboinject/cdn.ampproject.org/v0/amp-install-serviceworker-0.1.js	(from https://robopragmav3.com/)
06:22:41	36574/36574	---M--	200	added ('OK')	text/javascript	etag:%22bdb983a278f673e5%22	https://cdn.ampproject.org/v0/amp-youtube-0.1.js	D:/roboinject/cdn.ampproject.org/v0/amp-youtube-0.1.js	(from https://robopragmav3.com/)
06:22:42	17598/17598	---M--	200	added ('OK')	text/javascript	etag:%22835f3801fbb26021%22	https://cdn.ampproject.org/v0/amp-accordion-0.1.js	D:/roboinject/cdn.ampproject.org/v0/amp-accordion-0.1.js	(from https://robopragmav3.com/)
06:22:42	48420/48420	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Jan%202024%2018:58:16%20GMT	https://robopragmav3.com/i.ibb.co/9bZg5v6/hack.jpg	D:/roboinject/robopragmav3.com/i.ibb.co/9bZg5v6/hack.jpg	(from https://robopragmav3.com/)
06:22:42	51364/51364	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Jan%202024%2018:45:38%20GMT	https://robopragmav3.com/i.ibb.co/QKmbBXh/logo.png	D:/roboinject/robopragmav3.com/i.ibb.co/QKmbBXh/logo.png	(from https://robopragmav3.com/)
06:22:43	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Apr%202024%2023:22:43%20GMT	https://robopragmav3.com/a	D:/roboinject/robopragmav3.com/a	(from https://connect.facebook.net/en_US/fbevents.js)
06:22:43	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Apr%202024%2023:22:43%20GMT	https://robopragmav3.com/POST	D:/roboinject/robopragmav3.com/POST	(from https://connect.facebook.net/en_US/fbevents.js)
06:22:43	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Apr%202024%2023:22:43%20GMT	https://robopragmav3.com/b.resolvedLink	D:/roboinject/robopragmav3.com/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
06:22:43	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Apr%202024%2023:22:44%20GMT	https://robopragmav3.com/signals/iwl.js	D:/roboinject/robopragmav3.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
06:22:44	315/315	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202024%2010:39:36%20GMT	https://robopragmav3.com/schema.org/	D:/roboinject/robopragmav3.com/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
